,Title,Link,Location,Latitude,Longitude,NumReviews,PriceRange,Tags,Categories,Address
1038,Châteraisé (nex),/chateraise-3,Serangoon,1.3501703,103.8729834,33,~$25/pax,[],"['Desserts', ' Japanese', ' Cakes']",23 Serangoon Central #B2-49A nex Singapore 556083
1039,Inspirit House,/inspirit-house,Punggol,1.4208268,103.9123599,17,~$25/pax,[],"['Kid Friendly', ' Western']",3 Punggol Point Road #01-05 The Punggol Settlement Singapore 828694
1040,Ho Yun (Hong Kong) Tim Sum,/ho-yun-hong-kong-tim-sum,Tampines,1.3581196,103.9465401,6,~$5/pax,[],"['Dim Sum', ' Hawker Food']",419 Tampines Street 41 #01-80 419 F&B; Singapore 520419
1041,Waa Cow! Sushi Bar,/waa-cow-sushi-bar,Raffles Place,1.2842756,103.8514836,122,~$20/pax,"['Hot 100 2019', 'Featured In 1 Guide']","['Sushi', ' Japanese']",5 Raffles Place #B1-63 Raffles Xchange Singapore 048618
1042,Boston Seafood Shack (Tampines Mall),/boston-seafood-shack-1,Tampines,1.352614,103.9446926,11,~$20/pax,[],['Seafood'],4 Tampines Central 5 #B1-02 Tampines Mall Singapore 529510
1043,Rong Hua Bak Kut Teh (Marina Square),/ronghua-marina-square,Marina Square,1.291433,103.8576787,0,~$15/pax,[],"['Bak Kut Teh', ' Chinese', ' Hawker Food']",6 Raffles Boulevard #02-201 Marina Square  Singapore 039594
1044,Sushi Express (CityLink Mall),/sushi-express,City Hall,1.291557,103.855504,55,~$15/pax,[],"['Sushi', ' Japanese']",1 Raffles Link #B1-23 CityLink Mall Singapore 039393
1045,Medzs Bistro & Bar (Clifford Centre),/medzs-bistro-bar-at-clifford-centre,Raffles Place,1.283847,103.852123,70,~$25/pax,"['BEYOND', 'Featured In 1 Guide']","['Bars', ' Mediterranean', ' Cafes & Coffee', ' Dinner with Drinks', ' Burgers', ' Breakfast & Brunch', ' 1-for-1 Deals']",24 Raffles Place #01-01 Clifford Centre Singapore 048621
1046,CUT by Wolfgang Puck,/cut-by-wolfgang-puck,Marina Bay,1.2852843,103.8595697,142,~$250/pax,['Featured In 1 Guide'],"['Steak', ' Michelin Guide Singapore 2018', ' Michelin Guide Singapore 2019', ' Date Night', ' Dinner with Drinks', ' Michelin Guide Singapore 2017', ' Fine Dining']",2 Bayfront Avenue #B1-71 The Shoppes At Marina Bay Sands Singapore 018972
1047,Saap Saap Thai (Our Tampines Hub),/saap-saap-thai-at-tampines-hub,Tampines,1.3539084,103.9405583,21,~$15/pax,[],"['Thai', ' Cheap & Good', ' Halal']",1 Tampines Walk #01-100 Our Tampines Hub Singapore 528523
1048,Big Fish Small Fish (Tampines Mall),/big-fish-small-fish-2,Tampines,1.3524573,103.9446726,4,~$10/pax,[],"['Seafood', ' Western', ' Halal']",4 Tampines Central 5 #B1-K3 Tampines Mall Singapore 529510
